iter	Logloss
0	0.6261552366
1	0.5792024955
2	0.5524587594
3	0.5328787976
4	0.5204735799
5	0.5129240334
6	0.5062781712
7	0.5024884662
8	0.4998709589
9	0.4968483542
10	0.4949114008
11	0.4934105857
12	0.4919177561
13	0.4907351254
14	0.4900682839
15	0.4893132161
16	0.488275117
17	0.4875373805
18	0.486583522
19	0.4860233116
20	0.4854362161
21	0.4848608211
22	0.4843576275
23	0.4840623217
24	0.4836749271
25	0.4833327434
26	0.4829596443
27	0.482478847
28	0.4819114771
29	0.481639526
30	0.481292122
31	0.4807497056
32	0.4802776945
33	0.4799113478
34	0.4793677076
35	0.4791833127
36	0.478846206
37	0.4786413497
38	0.4784869279
39	0.4781175151
40	0.4779325909
41	0.4775914573
42	0.4773093396
43	0.4769236862
44	0.4767050713
45	0.4764428081
46	0.4761577776
47	0.475894176
48	0.4756172094
49	0.4752753813
50	0.4749953604
51	0.4747777923
52	0.4746335522
53	0.4742200715
54	0.4739759595
55	0.4736892401
56	0.4733298381
57	0.4730240007
58	0.4728100658
59	0.4726056099
60	0.4722610714
61	0.4717345315
62	0.4713006206
63	0.4710416442
64	0.470692869
65	0.4702874892
66	0.4700769272
67	0.4697262675
68	0.4695707754
69	0.4690963631
70	0.4687571604
71	0.4683160411
72	0.4679126924
73	0.4677235584
74	0.467350059
75	0.467022196
76	0.466760586
77	0.4663088854
78	0.4658150644
79	0.4655139922
80	0.4651963431
81	0.4649018817
82	0.4646457094
83	0.4642955318
84	0.4639960667
85	0.4636012623
86	0.4633536772
87	0.4630544751
88	0.4627518151
89	0.4624409168
90	0.4623113742
91	0.4620686352
92	0.4616937544
93	0.46136428
94	0.4609727987
95	0.460769001
96	0.4605327397
97	0.4601470197
98	0.4598098877
99	0.4594542682
100	0.4591197615
101	0.4590263057
102	0.4587296935
103	0.4584665386
104	0.4580955684
105	0.4578307684
106	0.4574493905
107	0.4574008995
108	0.4570930336
109	0.4567333956
110	0.4564146162
111	0.4561444409
112	0.455810562
113	0.4554955711
114	0.455185631
115	0.4549153267
116	0.4546168974
117	0.4543957592
118	0.4541793145
119	0.453883503
120	0.4536305796
121	0.4533159097
122	0.4530268861
123	0.4530088284
124	0.4527680446
125	0.4525084261
126	0.4523447546
127	0.4521122209
128	0.4518080295
129	0.4515258696
130	0.4512109343
131	0.4508974991
132	0.4506152861
133	0.4502837132
134	0.4500034605
135	0.4499093322
136	0.4495644633
137	0.4491924439
138	0.4489079637
139	0.4487173178
140	0.448455047
141	0.4481950433
142	0.4478976735
143	0.4475973775
144	0.4474089641
145	0.4472779652
146	0.4469461875
147	0.446729688
148	0.4464757734
149	0.4461716764
150	0.446161509
151	0.4458468939
152	0.4456801555
153	0.445399355
154	0.4451262796
155	0.4448891426
156	0.4445901419
157	0.4444049851
158	0.4443948758
159	0.4442050667
160	0.4440726815
161	0.4437947313
162	0.4435935597
163	0.4433163689
164	0.4430654539
165	0.4428033314
166	0.4426097804
167	0.4423243984
168	0.4420749128
169	0.4418497873
170	0.4415536775
171	0.4412538745
172	0.4409790275
173	0.440785999
174	0.4405796779
175	0.4403607908
176	0.440031383
177	0.4397487772
178	0.4394520302
179	0.4392864287
180	0.4390255266
181	0.4387263675
182	0.4384687498
183	0.4381763086
184	0.4380425757
185	0.4377810786
186	0.437532992
187	0.4373685561
188	0.4371205496
189	0.4368465783
190	0.4366310488
191	0.4365149497
192	0.4362893607
193	0.4360396188
194	0.4357425963
195	0.4355010253
196	0.4353079251
197	0.4350158194
198	0.4347805821
199	0.4346024398
200	0.434391512
201	0.4341735064
202	0.4338882122
203	0.4336798684
204	0.4334328732
205	0.4331604594
206	0.4330042576
207	0.4327745844
208	0.4325370715
209	0.4323780371
210	0.4322001106
211	0.4319826039
212	0.431787674
213	0.431552896
214	0.4314090951
215	0.4311388944
216	0.4309417868
217	0.4308043296
218	0.4305869696
219	0.4303734215
220	0.4302110134
221	0.4299234487
222	0.4296910254
223	0.42943414
224	0.4292051579
225	0.4289938416
226	0.4287514388
227	0.4285637839
228	0.4283754473
229	0.4281492598
230	0.4279215225
231	0.4277091038
232	0.427480227
233	0.4273702298
234	0.4271220151
235	0.4269230752
236	0.4266606914
237	0.4264789193
238	0.4262675018
239	0.4262583507
240	0.4260906878
241	0.4258645029
242	0.4256550643
243	0.4254933313
244	0.4252434706
245	0.4250632391
246	0.4249084641
247	0.424715219
248	0.4245509196
249	0.424516108
250	0.4243166953
251	0.4241153467
252	0.4239593759
253	0.4237199102
254	0.4235078126
255	0.4234057899
256	0.4231691501
257	0.4229551537
258	0.4226750721
259	0.4224775759
260	0.4222644889
261	0.4220755007
262	0.4218897447
263	0.4215856991
264	0.4213803278
265	0.4212085891
266	0.4210599725
267	0.4209495513
268	0.4206861924
269	0.420528343
270	0.4203016532
271	0.420116413
272	0.419871427
273	0.4196610732
274	0.4195956091
275	0.4193648361
276	0.4191592533
277	0.4190059743
278	0.4187651931
279	0.4185563933
280	0.4183232267
281	0.4180948362
282	0.4179541469
283	0.417698149
284	0.4175288443
285	0.4174340687
286	0.4172600435
287	0.4170465924
288	0.4168643617
289	0.4166402897
290	0.4165227292
291	0.4163149838
292	0.4161371247
293	0.4158973793
294	0.4157384814
295	0.4155211602
296	0.415367668
297	0.4151492098
298	0.4150161823
299	0.4148317393
