iter	Passed	Remaining
0	20	6178
1	40	6013
2	59	5933
3	78	5827
4	96	5719
5	114	5634
6	132	5535
7	149	5449
8	166	5374
9	182	5305
10	211	5559
11	228	5494
12	246	5438
13	263	5376
14	280	5333
15	298	5295
16	315	5254
17	333	5218
18	350	5181
19	367	5149
20	384	5113
21	402	5080
22	419	5051
23	436	5021
24	454	5001
25	472	4979
26	490	4955
27	513	4987
28	537	5025
29	555	4999
30	572	4971
31	590	4944
32	608	4924
33	632	4948
34	651	4929
35	680	4993
36	715	5085
37	733	5055
38	751	5027
39	768	4997
40	785	4961
41	808	4966
42	830	4964
43	848	4934
44	865	4906
45	884	4881
46	913	4917
47	931	4890
48	948	4860
49	967	4836
50	984	4805
51	1001	4778
52	1024	4774
53	1042	4750
54	1066	4752
55	1085	4727
56	1102	4699
57	1132	4724
58	1149	4697
59	1167	4669
60	1184	4640
61	1201	4612
62	1218	4585
63	1241	4578
64	1258	4551
65	1282	4546
66	1300	4521
67	1318	4498
68	1337	4476
69	1357	4459
70	1377	4442
71	1398	4427
72	1417	4406
73	1436	4386
74	1453	4361
75	1471	4336
76	1488	4311
77	1505	4285
78	1523	4262
79	1541	4237
80	1558	4213
81	1576	4189
82	1604	4195
83	1627	4184
84	1643	4157
85	1660	4131
86	1678	4108
87	1695	4084
88	1712	4059
89	1729	4034
90	1745	4009
91	1762	3984
92	1779	3960
93	1796	3936
94	1812	3912
95	1829	3887
96	1846	3863
97	1865	3845
98	1882	3821
99	1904	3809
100	1921	3786
101	1938	3763
102	1955	3740
103	1972	3717
104	1989	3694
105	2006	3672
106	2023	3649
107	2040	3626
108	2056	3604
109	2073	3581
110	2090	3559
111	2106	3536
112	2134	3532
113	2151	3510
114	2168	3487
115	2184	3465
116	2202	3444
117	2230	3440
118	2253	3427
119	2270	3406
120	2288	3385
121	2304	3362
122	2321	3340
123	2338	3318
124	2355	3297
125	2372	3276
126	2389	3255
127	2406	3233
128	2429	3220
129	2447	3200
130	2464	3179
131	2481	3158
132	2498	3137
133	2515	3116
134	2533	3096
135	2550	3075
136	2567	3054
137	2583	3032
138	2600	3011
139	2616	2990
140	2633	2969
141	2656	2955
142	2672	2934
143	2689	2914
144	2706	2893
145	2723	2872
146	2740	2852
147	2757	2832
148	2774	2811
149	2791	2791
150	2808	2771
151	2825	2751
152	2842	2730
153	2860	2712
154	2877	2692
155	2894	2671
156	2911	2651
157	2927	2631
158	2955	2620
159	2971	2600
160	3004	2594
161	3020	2573
162	3037	2553
163	3055	2533
164	3072	2513
165	3088	2493
166	3106	2473
167	3122	2453
168	3139	2433
169	3157	2414
170	3174	2394
171	3190	2374
172	3207	2354
173	3224	2334
174	3240	2314
175	3257	2295
176	3274	2275
177	3292	2256
178	3309	2236
179	3325	2217
180	3342	2197
181	3359	2178
182	3376	2158
183	3393	2139
184	3410	2119
185	3427	2100
186	3443	2080
187	3459	2060
188	3481	2044
189	3498	2025
190	3515	2006
191	3532	1986
192	3548	1967
193	3565	1948
194	3588	1932
195	3604	1912
196	3621	1893
197	3638	1874
198	3655	1855
199	3671	1835
200	3688	1816
201	3705	1797
202	3721	1778
203	3737	1758
204	3754	1739
205	3771	1721
206	3788	1702
207	3805	1682
208	3821	1664
209	3838	1645
210	3856	1626
211	3874	1608
212	3890	1589
213	3907	1570
214	3924	1551
215	3946	1534
216	3963	1515
217	3979	1496
218	3995	1477
219	4013	1459
220	4029	1440
221	4046	1421
222	4063	1403
223	4080	1384
224	4097	1365
225	4114	1347
226	4131	1328
227	4148	1309
228	4164	1291
229	4181	1272
230	4198	1254
231	4215	1235
232	4232	1216
233	4249	1198
234	4266	1180
235	4283	1161
236	4300	1143
237	4317	1124
238	4334	1106
239	4351	1087
240	4368	1069
241	4384	1050
242	4401	1032
243	4418	1014
244	4435	995
245	4452	977
246	4468	958
247	4491	941
248	4507	923
249	4524	904
250	4542	886
251	4558	868
252	4575	850
253	4593	831
254	4610	813
255	4626	795
256	4643	776
257	4660	758
258	4676	740
259	4694	722
260	4710	703
261	4727	685
262	4745	667
263	4761	649
264	4778	631
265	4795	612
266	4812	594
267	4829	576
268	4848	558
269	4865	540
270	4882	522
271	4899	504
272	4915	486
273	4932	468
274	4948	449
275	4965	431
276	4981	413
277	4998	395
278	5015	377
279	5032	359
280	5048	341
281	5065	323
282	5082	305
283	5099	287
284	5116	269
285	5132	251
286	5149	233
287	5165	215
288	5182	197
289	5199	179
290	5215	161
291	5232	143
292	5250	125
293	5267	107
294	5284	89
295	5300	71
296	5317	53
297	5334	35
298	5351	17
299	5368	0
